SKU|qty|price
AG0000|1|9781
AG0000|9|8802
AG0001|1|6854
AG0001|10|6168
AG0001|15|5483
AG0002|1|8611
AG0002|2|7749
AG0003|1|3879
AG0003|5|3491
AG0003|13|3103
AG0004|1|5564
AG0004|4|5007
AG0004|10|4451
HG0000|1|8366
HG0001|1|9810
HG0001|4|8829
HG0002|1|9149
HG0002|8|8234
HG0002|12|7319
HG0003|1|2914
HG0003|7|2622
HG0003|14|2331
HG0004|1|2977
HG0004|3|2679
HG0004|12|2381
CS0000|1|7177
CS0000|9|6459
CS0001|1|1275
CS0001|5|1147
CS0001|12|1020
CS0002|1|7438
CS0002|8|6694
CS0002|14|5950
CS0003|1|8179
CS0004|1|9180
BT0000|1|3052
BT0000|9|2746
BT0000|16|2441
BT0001|1|5128
BT0001|6|4615
BT0002|1|8187
BT0002|7|7368
BT0002|10|6549
BT0003|1|8652
BT0003|3|7786
BT0003|7|6921
BT0004|1|9791
BT0004|10|8811
BT0004|17|7832
JK0000|1|3842
JK0000|10|3457
JK0000|16|3073
JK0001|1|4910
JK0002|1|4569
JK0003|1|6183
JK0003|5|5564
JK0004|1|2759
JK0004|9|2483
GL0000|1|4819
GL0001|1|6647
GL0001|6|5982
GL0001|7|5317
GL0002|1|3741
GL0003|1|2500
GL0003|2|2250
GL0003|5|2000
GL0004|1|2650
GL0004|10|2385
GL0004|14|2120
EY0000|1|2570
EY0000|2|2313
EY0000|10|2056
EY0001|1|9242
EY0001|6|8317
EY0001|11|7393
EY0002|1|8311
EY0003|1|9023
EY0003|2|8120
EY0004|1|3801
EY0004|4|3420
EY0004|5|3040
BP0000|1|6963
BP0000|10|6266
BP0001|1|6193
BP0002|1|848
BP0002|3|763
BP0002|12|678
BP0003|1|9203
BP0004|1|8447
BP0004|7|7602
BP0004|16|6757
RP0000|1|3792
RP0000|7|3412
RP0000|9|3033
RP0001|1|7904
RP0001|6|7113
RP0002|1|5961
RP0002|2|5364
RP0002|7|4768
RP0003|1|5880
RP0003|5|5292
RP0003|10|4704
RP0004|1|2146
TN0000|1|1971
TN0001|1|6964
TN0002|1|3321
TN0002|4|2988
TN0003|1|1875
TN0003|8|1687
TN0003|10|1500
TN0004|1|1255
TN0004|2|1129
HM0000|1|747
HM0000|7|672
HM0000|10|597
HM0001|1|5200
HM0001|2|4680
HM0002|1|5391
HM0002|10|4851
HM0003|1|6827
HM0004|1|1784
HM0004|9|1605
SB0000|1|4417
SB0000|4|3975
SB0000|5|3533
SB0001|1|4720
SB0001|8|4248
SB0001|9|3776
SB0002|1|854
SB0003|1|8867
SB0004|1|2221
CG0000|1|7043
CG0001|1|7643
CG0001|5|6878
CG0001|10|6114
CG0002|1|8350
CG0002|4|7515
CG0002|11|6680
CG0003|1|1596
CG0003|4|1436
CG0004|1|2528
CG0004|10|2275
CG0004|14|2022
PG0000|1|5340
PG0000|3|4806
PG0001|1|9090
PG0002|1|9042
PG0002|4|8137
PG0003|1|4201
PG0003|6|3780
PG0004|1|4814
PG0004|4|4332
HG0000|1|8252
HG0000|4|7426
HG0001|1|2120
HG0001|7|1908
HG0002|1|1946
HG0002|3|1751
HG0003|1|7135
HG0003|2|6421
HG0004|1|4184
HG0004|2|3765
FG0000|1|874
FG0001|1|3403
FG0001|7|3062
FG0001|12|2722
FG0002|1|1043
FG0002|9|938
FG0003|1|9821
FG0003|9|8838
FG0003|15|7856
FG0004|1|760
FG0004|9|684
